               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.017955,           0.0079306,                   0,             0.97274,             0.87596,             0.92695,             0.70117,            0.021001,           0.0057961,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.018439,           0.0081679,                   0,             0.97274,             0.87439,             0.92691,             0.69651,            0.021525,           0.0058412,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.018454,           0.0077981,                   0,             0.96944,             0.87439,             0.93192,             0.70729,            0.020262,           0.0057305,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.018656,           0.0081421,                   0,              0.9665,             0.88358,             0.92704,             0.70693,            0.020221,           0.0056981,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.018051,           0.0081496,                   0,             0.96013,             0.88515,             0.92633,              0.6885,            0.021711,           0.0057899,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.017697,           0.0076023,                   0,             0.98107,             0.87285,             0.93105,              0.7094,             0.02036,           0.0056407,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.017691,           0.0078145,                   0,             0.96488,             0.88358,             0.93151,             0.70515,            0.020933,           0.0056836,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.018222,           0.0082288,                   0,             0.96649,              0.8835,              0.9296,             0.70881,            0.020971,           0.0057762,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.017383,           0.0077797,                   0,             0.96787,             0.87749,             0.92697,              0.7131,            0.020483,           0.0057026,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.017798,           0.0078863,                   0,             0.95991,             0.88055,             0.92972,             0.70952,            0.020461,           0.0057456,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.017171,           0.0076346,                   0,             0.96954,             0.87749,             0.92946,             0.70545,            0.020623,            0.005728,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.017656,           0.0079049,                   0,             0.97123,             0.87896,              0.9316,             0.70953,            0.020303,           0.0057065,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.017454,           0.0076857,                   0,             0.96964,             0.88055,             0.93115,             0.71415,            0.020348,           0.0056343,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.017434,           0.0077634,                   0,             0.97282,             0.87902,             0.93076,             0.71489,             0.02033,           0.0056955,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.017501,             0.00764,                   0,             0.96975,             0.88358,             0.93242,             0.71129,            0.020174,           0.0056029,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.017022,           0.0077323,                   0,             0.97623,             0.88054,             0.92788,             0.70692,            0.020768,           0.0056818,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.017218,           0.0075465,                   0,             0.97631,              0.8836,             0.92972,             0.71221,            0.020228,           0.0056728,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.016969,           0.0074516,                   0,             0.96801,             0.88055,             0.92752,             0.71958,            0.020121,            0.005647,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.016792,           0.0077269,                   0,              0.9761,             0.88055,             0.93288,             0.71751,            0.020092,           0.0056125,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.016889,           0.0077166,                   0,             0.96975,             0.88355,             0.93033,              0.7272,            0.019567,           0.0055849,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.017055,           0.0079067,                   0,             0.96817,             0.88513,             0.92918,             0.72473,            0.019576,           0.0055867,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.016615,           0.0074028,                   0,             0.97614,             0.87902,             0.92723,             0.71998,            0.019654,           0.0055429,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.016162,           0.0075355,                   0,             0.97946,             0.87749,             0.92937,             0.72364,            0.019601,           0.0055709,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.016508,           0.0070464,                   0,             0.98123,             0.88053,             0.93233,             0.72537,            0.019686,           0.0055319,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016255,           0.0072337,                   0,             0.97783,             0.88055,             0.93345,             0.72643,            0.019467,           0.0054912,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.016326,           0.0075321,                   0,             0.97639,             0.88652,             0.93391,             0.72417,              0.0196,            0.005522,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.016119,           0.0075895,                   0,             0.97462,             0.88515,             0.93312,             0.72883,            0.019504,           0.0054981,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.016602,           0.0073176,                   0,             0.97628,             0.88361,             0.93196,              0.7322,            0.019245,           0.0054692,                   0,            0.000232,            0.000232,            0.000232
